location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
Saudi Arabia,Asia,34813867,75.13,2.7,49045.411
Senegal,Africa,16743930,67.94,,2470.58
Serbia,Europe,6804596,76,5.609,14048.881
Seychelles,Africa,98340,73.4,3.6,26382.287
Sierra Leone,Africa,7976985,54.7,,1390.3
Singapore,Asia,5850343,83.62,2.4,85535.383
Sint Maarten (Dutch part),North America,42882,78.95,,36327.232
Slovakia,Europe,5459643,77.54,5.82,30155.152
Slovenia,Europe,2078932,81.32,4.5,31400.84
Somalia,Africa,15893219,57.4,0.9,
South Africa,Africa,59308690,64.13,2.32,12294.876
South Korea,Asia,51269183,83.03,12.27,35938.374
South Sudan,Africa,11193729,57.85,,1569.888
Spain,Europe,46754783,83.56,2.97,34272.36
Sri Lanka,Asia,21413250,76.98,3.6,11669.077
Sudan,Africa,43849269,65.31,0.8,4466.507
Suriname,South America,586634,71.68,3.1,13767.119
Swaziland,Africa,1160164,60.19,2.1,7738.975
Sweden,Europe,10099270,82.8,2.22,46949.283
Switzerland,Europe,8654618,83.78,4.53,57410.166
Syria,Asia,17500657,72.7,1.5,
Tajikistan,Asia,9537642,71.1,4.8,2896.913
Tanzania,Africa,59734213,65.46,0.7,2683.304
Thailand,Asia,69799978,77.15,2.1,16277.671
Timor,Asia,1318442,69.5,5.9,6570.102
Togo,Africa,8278737,61.04,0.7,1429.813
Trinidad and Tobago,North America,1399491,73.51,3,28763.071
Tunisia,Africa,11818618,76.7,2.3,10849.297
Turkey,Asia,84339067,77.69,2.81,25129.341
Turks and Caicos Islands,North America,38718,80.22,,
Uganda,Africa,45741000,63.37,0.5,1697.707
Ukraine,Europe,43733759,72.06,8.8,7894.393
United Arab Emirates,Asia,9890400,77.97,1.2,67293.483
United Kingdom,Europe,67886004,81.32,2.54,39753.244
United States,North America,331002647,78.86,2.77,54225.446
United States Virgin Islands,North America,104423,80.58,,
Uruguay,South America,3473727,77.91,2.8,20551.409
Uzbekistan,Asia,33469199,71.72,4,6253.104
Vatican,Europe,809,75.12,,
Venezuela,South America,28435943,72.06,0.8,16745.022
Vietnam,Asia,97338583,75.4,2.6,6171.884
Western Sahara,Africa,597330,70.26,,
Yemen,Asia,29825968,66.12,0.7,1479.147
Zambia,Africa,18383956,63.89,2,3689.251
Zimbabwe,Africa,14862927,61.49,1.7,1899.775
